"id","title","designNo","slug","diamondType","goldWeight","goldType","diamondWeight","mcPercentage","diamondPcs","category"
1,"03-11417(2)","03-11417(2)","03-11417-2","[""IJS"",""RJS"",""MJS""]","[1.5,2.5,3.5,4.5]","[""18K""]","[0.396,0.496,0.596]",30,25,"PENDANT SET"
2,"02-11417(3)","02-11417(3)","02-11417-3","[""IJS""]","[3.7]","[""18K""]","[0.462]",23,50,"PENDANT SET"
3,"03-10135(1)","03-10135(1)","03-10135-1","[""IJS""]","[0.76]","[""18K""]","[0.212]",15.2,4,"PENDANT SET"
4,"02-10135(1)","02-10135(1)","02-10135-1","[""IJS""]","[1.96]","[""18K""]","[0.252]",39.2,8,"PENDANT SET"
5,"03-10128(1)","03-10128(1)","03-10128-1","[""IJS""]","[1.1]","[""18K""]","[0.54]",22,4,"PENDANT SET"
6,"02-10128(1)","02-10128(1)","02-10128-1","[""IJS""]","[2.6]","[""18K""]","[0.48]",52,8,"PENDANT SET"
7,"03-10074(1)","03-10074(1)","03-10074-1","[""IJS""]","[0.81]","[""18K""]","[0.203]",16.2,9,"PENDANT SET"
8,"02-10074(1)","02-10074(1)","02-10074-1","[""IJS""]","[2.53]","[""18K""]","[0.36]",23,18,"PENDANT SET"
9,"03-11107","03-11107","03-11107","[""IJS""]","[0.94]","[""18K""]","[0.26]",18.8,9,"PENDANT SET"
10,"02-11107","02-11107","02-11107","[""IJS""]","[2.32]","[""18K""]","[0.52]",19,18,"PENDANT SET"
11,"33-V0011","33-V0011","33-V0011","[""IJS""]","[1.6]","[""18K""]","[0.04]",30,1,"PENDANT"
12,"33-V0044","33-V0044","33-V0044","[""IJS""]","[0.85]","[""18K""]","[0.046]",23,1,"PENDANT"
13,"33-V0045","33-V0045","33-V0045","[""IJS""]","[1.34]","[""18K""]","[0.046]",15.2,1,"PENDANT"
14,"33-11310","33-11310","33-11310","[""IJS""]","[3.37]","[""18K""]","[0.06]",39.2,1,"PENDANT"
15,"33-10847(1)","33-10847(1)","33-10847-1","[""IJS""]","[1.32]","[""18K""]","[0.078]",22,1,"PENDANT"
16,"33-10844(1)","33-10844(1)","33-10844-1","[""IJS""]","[1.5]","[""18K""]","[0.078]",52,1,"PENDANT"
17,"33-10794","33-10794","33-10794","[""IJS""]","[1.5]","[""18K""]","[0.09]",16.2,4,"PENDANT"
18,"33-10819","33-10819","33-10819","[""IJS""]","[0.9]","[""18K""]","[0.185]",23,11,"PENDANT"
19,"33-10772","33-10772","33-10772","[""IJS""]","[1.01]","[""18K""]","[0.167]",18.8,5,"PENDANT"
20,"33-10846","33-10846","33-10846","[""IJS""]","[1.39]","[""18K""]","[0.208]",19,18,"PENDANT"
21,"22-10797","22-10797","22-10797","[""IJS""]","[1.44]","[""18K""]","[0.045]",30,2,"BALI"
22,"22-10797(1)","22-10797(1)","22-10797-1","[""IJS""]","[1.15]","[""18K""]","[0.09]",23,4,"BALI"
23,"22-10797(2)","22-10797(2)","22-10797-2","[""IJS""]","[1.28]","[""18K""]","[0.135]",15.2,6,"BALI"
24,"22-10797(3)","22-10797(3)","22-10797-3","[""IJS""]","[1.28]","[""18K""]","[0.18]",20,8,"BALI"
25,"22-10077","22-10077","22-10077","[""IJS""]","[3.19]","[""18K""]","[0.325]",22,10,"BALI"
26,"22-10803","22-10803","22-10803","[""IJS""]","[3.22]","[""18K""]","[0.347]",19,12,"BALI"
27,"22-10126","22-10126","22-10126","[""IJS""]","[4.64]","[""18K""]","[0.495]",16.2,18,"BALI"
28,"22-10073","22-10073","22-10073","[""IJS""]","[5.11]","[""18K""]","[0.567]",23,18,"BALI"
29,"02-10350","02-10350","02-10350","[""IJS""]","[2.69]","[""18K""]","[0.349]",18.8,10,"BALI"
30,"22-10109","22-10109","22-10109","[""IJS""]","[2.78]","[""18K""]","[0.32]",19,8,"BALI"
31,"22-10922","22-10922","22-10922","[""IJS""]","[2.79]","[""18K""]","[0.48]",30,12,"BALI"
32,"22-10958","22-10958","22-10958","[""IJS""]","[2.82]","[""18K""]","[0.302]",23,18,"BALI"
33,"22-10071","22-10071","22-10071","[""IJS""]","[2.52]","[""18K""]","[0.32]",15.2,8,"BALI"
34,"22-11330","22-11330","22-11330","[""IJS""]","[2.86]","[""18K""]","[0.28]",19,14,"BALI"
35,"22-10080(4)","22-10080(4)","22-10080-4","[""IJS""]","[4.38]","[""18K""]","[0.405]",22,18,"BALI"
36,"22-11077","22-11077","22-11077","[""IJS""]","[5.25]","[""18K""]","[0.325]",20,54,"BALI"
37,"22-10340(1)","22-10340(1)","22-10340-1","[""IJS""]","[4.79]","[""18K""]","[0.86]",16.2,62,"BALI"
38,"22-11254","22-11254","22-11254","[""IJS""]","[5.11]","[""18K""]","[0.57]",23,50,"BALI"
39,"22-11119-5","22-11119-5","22-11119-5","[""IJS""]","[6.96]","[""18K""]","[0.797]",18.8,84,"BALI"
40,"22-11314","22-11314","22-11314","[""IJS""]","[8.58]","[""18K""]","[1.075]",19,64,"BALI"
41,"22-11245","22-11245","22-11245","[""IJS""]","[9.21]","[""18K""]","[1.314]",10,108,"BALI"
42,"11-13078","11-13078","11-13078","[""IJS""]","[1.73]","[""18K""]","[0.218]",30,13,"LADIES RING"
43,"11-11707","11-11707","11-11707","[""IJS""]","[2.14]","[""18K""]","[0.28]",23,7,"LADIES RING"
44,"11-13080","11-13080","11-13080","[""IJS""]","[2.25]","[""18K""]","[0.318]",15.2,11,"LADIES RING"
45,"11-13079","11-13079","11-13079","[""IJS""]","[2.33]","[""18K""]","[0.372]",20,11,"LADIES RING"
46,"11-12256","11-12256","11-12256","[""IJS""]","[2.13]","[""18K""]","[0.24]",22,12,"LADIES RING"
47,"01-10889(1)","01-10889(1)","01-10889-1","[""IJS""]","[3.74]","[""18K""]","[0.408]",19,21,"LADIES RING"
